기간,구분,발생량,재활용,음식물,소각,매립,정도
2000,종로구,439.3,124,33.7,1.6,280,0
2000,중구,513.6,131,94.6,0.8,287.2,1
2000,용산구,345.8,107,20.6,2.5,215.7,0
2000,성동구,331.8,86,30.6,6.5,208.7,0
2000,광진구,352.8,113,42,5.1,192.7,0
2000,동대문구,462.7,122,52.7,1.4,286.6,0
2000,중랑구,366.8,107,44,2.6,213.2,0
2000,성북구,449.1,167,35.1,1.4,245.6,0
2000,강북구,422.8,182,57.7,1.3,181.8,0
2000,도봉구,351.9,158,47.2,0,146.7,0
2000,노원구,489.1,160,72.7,245,11.4,0
2000,은평구,359,116,29,1.7,212.3,0
2000,서대문구,387.4,133,28.7,5.6,220.1,0
2000,마포구,438.4,179,27,2.1,230.3,0
2000,양천구,497.4,226,21,235,15.4,0
2000,강서구,532.6,215,41,6.1,270.5,1
2000,구로구,351.7,112,56,41.3,142.4,0
2000,금천구,321.7,133,29.7,5.5,153.5,0
2000,영등포구,596.2,155,62.7,0.7,377.8,1
2000,동작구,388,126,40.3,4,217.7,0
2000,관악구,449,130,35.5,6.2,277.3,0
2000,서초구,516.1,134,85.4,6.4,290.3,1
2000,강남구,794.1,207,170,32.3,384.8,1
2000,송파구,813.9,334,74,5.1,400.8,1
2000,강동구,467.1,194,65.3,6.4,201.4,0
2001,종로구,445.8,91.2,60.1,5.8,288.7,0
2001,중구,587.1,188.5,93.9,1.1,303.6,1
2001,용산구,351,97.2,36.1,0.7,217,0
2001,성동구,343.9,90.1,52.4,13.4,188,0
2001,광진구,356.8,86.9,45.7,5.6,218.6,0
2001,동대문구,485.7,116.6,73.7,1.1,294.3,0
2001,중랑구,334.6,86.1,39.8,3.1,205.6,0
2001,성북구,504.7,186.5,70.2,0.8,247.2,1
2001,강북구,428.5,177.7,59.8,1.3,189.7,0
2001,도봉구,298.1,106.9,39.9,0,151.3,0
2001,노원구,484.4,147.7,104.4,219.5,12.8,0
2001,은평구,386.9,119.7,51.8,3.4,212,0
2001,서대문구,372.4,109.1,29.1,3.7,230.5,0
2001,마포구,437.4,160.6,43.1,2.3,231.4,0
2001,양천구,581.8,303,26.2,227.9,24.7,1
2001,강서구,567.5,240.2,47.1,10.8,269.4,1
2001,구로구,405.2,142.6,72.9,119,70.7,0
2001,금천구,365.4,155,49.7,8.3,152.4,0
2001,영등포구,628,162.2,64.2,7,394.6,1
2001,동작구,426.9,142,42.9,2.3,239.7,0
2001,관악구,501.2,134.1,38.8,8.4,319.9,1
2001,서초구,521.1,124.1,107.4,7.4,282.2,1
2001,강남구,799,242.1,268.6,158.7,129.6,1
2001,송파구,848.9,334.9,117.7,3.1,393.2,1
